"","ID","Group","AUC"
"1","1433","1mM",1.07142857142857
"2","1433","20mM",56.8601142857141
"3","1433","6mM",20.4997285714285
"4","1433","KCl",45.3589714285713
"5","1467","1mM",1.52901075
"6","1467","20mM",21.95153625
"7","1467","6mM",9.7409985
"8","1467","KCl",26.9559
"9","1468","1mM",0.658125
"10","1468","20mM",22.8640125
"11","1468","6mM",7.598925
"12","1468","KCl",28.07955
"13","1469","1mM",0.66676
"14","1469","20mM",36.90792
"15","1469","6mM",18.73576
"16","1469","KCl",42.4896
"17","1478","1mM",0.85215
"18","1478","20mM",47.89770375
"19","1478","6mM",29.30942625
"20","1478","KCl",50.032905
"21","1479","1mM",0.74204
"22","1479","20mM",37.20176
"23","1479","6mM",15.83792
"24","1479","KCl",43.1304
"25","1483","1mM",0.32509
"26","1483","20mM",31.04486
"27","1483","6mM",2.1430575
"28","1483","KCl",24.88335
"29","1484","1mM",1.2849375
"30","1484","20mM",38.6969625
"31","1484","6mM",21.5815425
"32","1484","KCl",41.36307
"33","1486","1mM",1.3813545
"34","1486","20mM",35.476767
"35","1486","6mM",16.0051235
"36","1486","KCl",42.196744
"37","1490","1mM",2.1614875
"38","1490","20mM",47.361395
"39","1490","6mM",18.1326025
"40","1490","KCl",26.32146
"41","1491","1mM",1.89067125
"42","1491","20mM",34.90475625
"43","1491","6mM",13.3287375
"44","1491","KCl",27.22785
"45","1492","1mM",2.25277
"46","1492","20mM",57.459935
"47","1492","6mM",31.861635
"48","1492","KCl",47.86522
"49","1493","1mM",0.1705925
"50","1493","20mM",6.11628125
"51","1493","6mM",2.22317625
"52","1493","KCl",9.682955
