"","ID","1mM","20mM","6mM","KCl","Index"
"1","1433",0.417025401410217,8.16438797869306,4.06224136899875,13.9000419659915,2.0098234538696
"2","1467",0.466334853363171,2.82131812174822,2.0734906754154,10.7008222421516,1.36066110892107
"3","1468",0.200541440667189,2.12452617681273,1.86156438637546,9.14085473278267,1.14125849869167
"4","1469",0.232918769974849,4.54713435302395,6.94337531579264,17.3716762106193,0.654888169833127
"5","1478",0.306970832372577,4.83134664372247,9.03480288739672,13.3147290886232,0.534748428265332
"6","1479",0.270774790283491,4.42598988059262,5.48668410098501,11.6037636882535,0.806678459909517
"7","1483",0.0942761657439753,2.98913577472455,0.314070376646849,9.94354340972808,9.51740755252967
"8","1484",0.437573688250025,4.9870433077181,4.05479736463839,14.0746849002923,1.22991184496906
"9","1486",0.499096767346674,3.90568623600559,2.44755788336528,10.7997697457477,1.59574826097083
"10","1490",0.585790319221088,6.85362356514287,2.92565767767634,8.93896752307796,2.34259244252604
"11","1491",0.718372476719258,4.77131396884034,3.22063166814336,10.6952104619826,1.48148390144562
"12","1492",0.899601617397887,4.79824059542923,6.74366650062949,15.8998910181218,0.711518073288667
"13","1493",0.0484677601215554,0.708101369671599,0.4962651255726,3.92760093078424,1.42686103290973
